,browserbite-svm-internal,browserbite-nn-internal,browserbite-dt-internal,browserbite-randomforest-internal,crosscheck-svm-internal,crosscheck-nn-internal,crosscheck-dt-internal,crosscheck-randomforest-internal,image_diff_extractor-cnn-internal,browserninja1-svm-internal,browserninja1-nn-internal,browserninja1-dt-internal,browserninja1-randomforest-internal,image_diff_extractor-svm-internal,image_diff_extractor-nn-internal,image_diff_extractor-dt-internal,image_diff_extractor-randomforest-internal
0,,,,,,,,,0.5441644986078781,,,,,,,,
1,,,,,,,,,0.6216081005363002,,,,,,,,
2,,,,,,,,,0.5645812589888262,,,,,,,,
3,,,,,,,,,0.5467840982546865,,,,,,,,
4,,,,,,,,,0.5701969041657181,,,,,,,,
5,,,,,,,,,0.559353224790937,,,,,,,,
6,,,,,,,,,0.6604218706633361,,,,,,,,
7,,,,,,,,,0.5703277942180742,,,,,,,,
8,,,,,,,,,0.5629493409665823,,,,,,,,
9,,,,,,,,,0.5329997775117336,,,,,,,,
